Data,Hora,Prefixo,Empresa,Área,Linha,Local,Perda,Latitude,Longitude,Notes,,,,,,,,,,,,,,,
11/12/13,00h10,31.409,VIP Transportes,3,3902/10,"Av. Ipê Roxo, 906 - Vila Curuçá",Perda Parcial,,,,,,,,,,,,,,,,,,
11/14/13,22h04,44.225,Emergencial 2,4,4004/10,"R. Dos Têxteis, S/Nº - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
11/15/13,00h08,44.679,Emergencial 2,4,4018/10,"Av. dos Metalúrgicos, S/Nº - Cidade Tiradentes",Perda Total,,,,,,,,,,,,,,,,,,
11/15/13,16h20,61.196,Cidade Dutra,6,6913/10,Terminal Bandeira - Centro,Perda Parcial,,,,,,,,,,,,,,,,,,
11/15/13,23h18,44.094,Emergencial 2,4,4018/10,"Av. dos Metalúrgicos, 01 - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
12/1/13,17h00,32.341,VIP Transportes,3,273D/10,Rua Aricanga X Rua Anajuba - Vila Curuçá,Perda Parcial,,,,,,,,,,,,,,,,,,
12/1/13,22h20,32.908,VIP Transportes,3,263C/10,"Av. dos Ipês, 708 - Vila Curuçá",Perda Parcial,,,,,,,,,,,,,,,,,,
12/2/13,14h35,32.356,VIP Transportes,3,2583/10,"Pça. Jaguamitanga, S/Nº - Vila Curuçá",Perda Parcial,,,,,,,,,,,,,,,,,,
12/2/13,17h30,32.136,VIP Transportes,3,2022/10,"Rua dos Igarapés, 52, Jd. Robru",Perda Parcial,,,,,,,,,,,,,,,,,,
12/8/13,23h10,51.936,Via Sul,5,Reservado,"Av. Arquiteto Vilanova Artigas, S/Nº - São Mateus",Perda Parcial,,,,,,,,,,,,,,,,,,
12/19/13,19h50,22.174,Sambaíba,2,2182/10,Viaduto Ministro Alberto Marino,Perda Parcial,,,,,,,,,,,,,,,,,,
1/4/14,22h08,63.681,Mobibrasil,1,5164/10,"Rua Coriolano Durand, S/N - Jabaquara",Perda Parcial,,,,,,,,,,,,,,,,,,
1/5/14,19h43,44.447,Express,4,312N/10,"Av.Dr.Guilherme de Abreu Sodré,114 -Cid.Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
1/9/14,15h35,32.81,Vip/Trasportes,3,2755/10,"Av.Nordestina,3;720- VilaCuruçá",Perda Parcial,,,,,,,,,,,,,,,,,,
