Data,Hora,Prefixo,Empresa,Área,Linha,Local,Perda,Latitude,Longitude,Notes,,,,,,,,,,,,,,,
1/13/15,23h50,61.018,Cidade Dutra,6,5362/23,"R. Rubens de Oliveira, 5700 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
1/27/15,00h00,72.309,Campo Belo,7,7059/10,"R. Alfredo Lorenz, 296 - Parque Lígia",Perda Parcial,,,,,,,,,,,,,,,,,,
1/27/15,23h40,77.422,Transkuba,7,Reservado,"Av. Carlos Lacerda, 3003 - Jardim Rosana",Perda Total,,,,,,,,,,,,,,,,,,
2/3/15,21h20,72.845,Campo Belo,7,7059/10,"R. Alves de Souza, sn - Parque do Engenho",Perda Total,,,,,,,,,,,,,,,,,,
2/3/15,21h50,77.421,Transkuba,7,7050/10,"Av. Dom Rodrigo Sanches, 570 - Parque do Engenho",Perda Parcial,,,,,,,,,,,,,,,,,,
2/21/15,14h15,62.231,Tupi,6,5611/10,"Av. Interlagos, 2729 - Parque Umuarama",Perda Parcial,,,,,,,,,,,,,,,,,,
2/21/15,23h04,63.643,MobiBrasil,6,576C/10,"Av. Interlagos, 2700 - Campo Grande",Perda Parcial,,,,,,,,,,,,,,,,,,
3/1/15,17h54,48.623,Express,4,407G/10,"R. Anecy Rocha, 928 - Iguatemi",Perda Parcial,,,,,,,,,,,,,,,,,,
3/18/15,00h08,74.437,VIP,7,6014/10,"Estrada do Embu-Guaçu, 10557 - Jardim Ângela",Perda Parcial,,,,,,,,,,,,,,,,,,
3/18/15,22h40,74.534,VIP,7,6014/10,"Estrada do Embu-Guaçu, 10558 - Jardim Ângela",Perda Parcial,,,,,,,,,,,,,,,,,,
3/22/15,18h20,74.323,VIP,7,7016/10,"Av. Guarapiranga, 2574 - Jardim São Luis",Perda Parcial,,,,,,,,,,,,,,,,,,
3/24/15,20h10,74.554,VIP,7,7016/10,"R. Olga Moretti Ferrari, 208 - Jardim Ângela",Perda Parcial,,,,,,,,,,,,,,,,,,
3/26/15,12h10,74.606,VIP,7,675Z/10,"Rua Alba, 800 - Jabaquara",Perda Parcial,,,,,,,,,,,,,,,,,,
4/6/15,19h40,72.137,Campo Belo,7,6806/10,"R. Nelson Brissac, sn - Jardim Novo Oriente",Perda Total,,,,,,,,,,,,,,,,,,
4/6/15,19h30,72.158,Campo Belo,7,6804/10,"R. José Pereira Bueno, sn - Jardim Ingá",Perda Total,,,,,,,,,,,,,,,,,,
4/16/15,19h55,61.607,Cidade Dutra,6,5362/23,"Av. Belmira Marin, 1700 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
4/23/15,20h41,11.25,Santa Brígida,1,8006/10,"Estrada de Taipas, 2380 - Taipas",Perda Total,,,,,,,,,,,,,,,,,,
4/26/15,02h40,72.964,Campo Belo,7,N701/11,"Av. 09 de Julho, 700 - Bela Vista",Perda Parcial,,,,,,,,,,,,,,,,,,
5/3/15,16h06,48.268,Express,4,4005/10,"R. Patrício Teixeira, sn - Barro Branco",Perda Total,,,,,,,,,,,,,,,,,,
5/3/15,16h09,48.218,Express,4,407L/10,"R. Patrício Teixeira, 199 - Barro Branco",Perda Parcial,,,,,,,,,,,,,,,,,,
5/11/15,20h24,11.237,Santa Brígida,1,8050/10,"Rodovia Anhanguera, 22950 - Parque Morro Doce",Perda Parcial,,,,,,,,,,,,,,,,,,
5/19/15,19h50,72.179,Campo Belo,7,6818/10,"R. Limbani, 179 - Jardim Vale das Virtudes",Perda Total,,,,,,,,,,,,,,,,,,
5/22/15,12h20,31.03,VIP,3,273X/10,"R. Manoel Bueno da Fonseca, 437 - Jardim Camargo Novo",Perda Parcial,,,,,,,,,,,,,,,,,,
5/24/15,13h00,31.328,VIP,3,273J/10,"R. Cordão de São Francisco, 1490 - Jardim Helena",Perda Parcial,,,,,,,,,,,,,,,,,,
5/25/15,19h10,11.146,Santa Brígida,1,888P/10,"Estrada de Taipas, 1750 - Jaraguá",Perda Parcial,,,,,,,,,,,,,,,,,,
5/26/15,20h49,21.215,Sambaíba,2,971C/10,"Av. Deputado Cantídio Sampaio, 2500 - Brasilândia",Perda Parcial,,,,,,,,,,,,,,,,,,
5/28/15,16h10,61.049,Cidade Dutra,6,Reservado,"Av. Dona Belmira Marin, 2672 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
6/3/15,19h37,32.825,VIP,3,3003/10,"R. General Dalton Teixeira, 97 - Jardim Helena",Perda Parcial,,,,,,,,,,,,,,,,,,
6/3/15,20h45,31.719,VIP,3,4310/10,"R. Igarapé Serra Encantada, 73 - Inácio Monteiro",Perda Parcial,,,,,,,,,,,,,,,,,,
6/14/15,18h17,31.655,VIP,3,2076/10,"R. Paulo Tapajós, 52 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
6/14/15,18h26,31.319,VIP,3,273N/10,"R. Desembargador Octávio Gonzaga Júnior, 42 - Cidade Kemel",Perda Parcial,,,,,,,,,,,,,,,,,,
8/27/15,00h35,48.87,Express,4,N403/11,"Av. Souza Ramos, sn - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
8/31/15,23h20,61.711,Cidade Dutra,6,695X/10,"R. Alba, 1050 - Jabaquara",Perda Parcial,,,,,,,,,,,,,,,,,,
8/31/15,23h20,74.223,VIP,7,675Z/10,"R. Alba, 1050 - Jabaquara",Perda Parcial,,,,,,,,,,,,,,,,,,
9/18/15,21h20,63.255,MobiBrasil,6,509J/10,"Av. Yervant Kissajikian, 80 - Campo Grande",Perda Parcial,,,,,,,,,,,,,,,,,,
9/19/15,12h15,63.246,MobiBrasil,6,6366/10,"Av. Yervant Kissajikian, 825 - Vila Constância",Perda Parcial,,,,,,,,,,,,,,,,,,
9/23/15,20h00,33.123,VIP,3,4310/10,"R. Engenheiro Vilares da Silva, 4310 - Itaquera",Perda Parcial,,,,,,,,,,,,,,,,,,
10/20/15,23h41,61.194,Cidade Dutra,6,675X/10,"Av. Dona Belmira Marin, 800 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
10/24/15,23h30,48.908,Express,4,407E/10,"Av. Sapopemba, 14980",Perda Parcial,,,,,,,,,,,,,,,,,,
10/24/15,22h30,33.004,VIP,3,4313/10,"Estrada do Iguatemi, 2050 - Cidade Tiradentes",Perda Total,,,,,,,,,,,,,,,,,,
10/25/15,00h10,33.034,VIP,3,4313/10,"Av. Ragueb Chofi, 6380 - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
11/18/15,17h10,81.992,Transpass,8,8021/10,"Av. Escola Politécnica, 5415 - Butantã",Perda Parcial,,,,,,,,,,,,,,,,,,
11/20/15,03h40,31.55,VIP,3,2582/10,"R. Ipequi , 168 - Vila Nova Curuça",Perda Total,,,,,,,,,,,,,,,,,,
1/9/16,20h35,31.334,VIP,3,273J/10,"R. Cordão de São Francisco, 400 - Jardim Helena",Perda Parcial,,,,,,,,,,,,,,,,,,
1/8/16,21h25,32.855,VIP,3,3901/10,"Praça Félix, 0 - Vila Silvia",Perda Parcial,,,,,,,,,,,,,,,,,,
1/9/16,21h15,31.553,VIP,3,2582/10,"Av. Ipê Roxo, 778 - Itaim Paulista",Perda Total,,,,,,,,,,,,,,,,,,
1/10/16,00h55,31.379,VIP,3,2080/10,"R. João Batista de Godoi, 1094 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
1/28/16,22h30,31.41,VIP,3,3902/10,"R. José Alvares Moreira, sn - Jardim Romano",Perda Total,,,,,,,,,,,,,,,,,,
1/30/16,01h04,31.326,VIP,3,2088/10,"R. Paulo Tapajós, 140 - Jardim Camargo Velho",Perda Parcial,,,,,,,,,,,,,,,,,,
1/30/16,21h00,32.774,VIP,3,2059/10,"Av. Nordestina, 3108 - São Miguel",Perda Total,,,,,,,,,,,,,,,,,,
1/31/16,00h00,31.913,VIP,3,2780/10,"Av. Deputado Dr. José Aristodemos Pinotti, 30 - São Miguel",Perda Parcial,,,,,,,,,,,,,,,,,,
2/3/16,17h50,32.428,VIP,3,2059/10,"Av. Nordestina, 7200 - São Miguel",Perda Parcial,,,,,,,,,,,,,,,,,,
2/3/16,17h50,32.806,VIP,3,263C/10,"Av. Nordestina, 7200 - São Miguel",Perda Parcial,,,,,,,,,,,,,,,,,,
2/8/16,19h39,61.147,Cidade Dutra,6,5362/10,"Av. Dona Belmira Marin, 4026 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
3/26/16,18h45,63.539,MobiBrasil,6,509J/10,"R. Peixoto de Melo Filho, 429 - Jardim Noterói",Perda Parcial,,,,,,,,,,,,,,,,,,
3/26/16,23h50,73.31,VIP,7,6007/10,"R. Humberto de Almeida, sn - Rua Baltazar de Sá",Perda Total,,,,,,,,,,,,,,,,,,
3/26/16,23h50,73.315,VIP,7,6007/10,"R. Humberto de Almeida, sn - Rua Baltazar de Sá",Perda Total,,,,,,,,,,,,,,,,,,
3/27/16,00h00,72.598,Campo Belo,7,609F/10,"Av. Raquel Alves Moreira, 834 - Chácara Santana",Perda Parcial,,,,,,,,,,,,,,,,,,
4/7/16,21h25,48.832,Express,4,312N/10,"Av. Teodoro Bernardo do Nascimento , sn - Jardim Robru",Perda Total,,,,,,,,,,,,,,,,,,
4/10/16,01h05,74.362,VIP,7,6006/10,"R. Cataldo Parrilha, 271 - Jardim Ângela",Perda Total,,,,,,,,,,,,,,,,,,
4/11/16,19h30,77.798,Transkuba,7,6475/10,"R. Deocleciano Oliveira Filho, 10 - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
4/11/16,20h30,72.762,Campo Belo,7,6822/10,Estrada de Itapecerica (Metrô Capão Redondo),Perda Total,,,,,,,,,,,,,,,,,,
4/11/16,20h50,72.854,Campo Belo,7,6838/10,"R. Augustinho Rubim, 886 - Jardim Campo de Fora",Perda Total,,,,,,,,,,,,,,,,,,
4/11/16,21h15,74.224,VIP,7,6006/10,R. Paulo da Fonseca. 772 - Jardim Figueira Grande,Perda Parcial,,,,,,,,,,,,,,,,,,
4/27/16,19h00,22.45,Sambaíba,2,1788/10,"R. Ushikichi Kamiya, 1121 - Tremembé",Perda Parcial,,,,,,,,,,,,,,,,,,
5/30/16,23h03,48.305,Express,4,407A/10,Av. Barreira Grande x Rua Manoel Ferreira Pires,Perda Total,,,,,,,,,,,,,,,,,,
5/31/16,23h43,32.969,VIP,3,407F/10,"Av. Cipriano Rodrigues, 147 - Vila Antonieta",Perda Parcial,,,,,,,,,,,,,,,,,,
5/24/16,00h45,81.987,Transpass,8,8020/10,Av. Escola Politécnica x Rua jorge Ward - Butantã,Perda Parcial,,,,,,,,,,,,,,,,,,
6/3/16,20h38,77.845,Transkuba,7,657A/10,Praça João da Cunha Marques - Campo Belo,Perda Parcial,,,,,,,,,,,,,,,,,,
6/27/16,22h47,48.801,Express,4,4004/10,"R. Afonso Asturaro, 355 - Barro Branco",Perda Total,,,,,,,,,,,,,,,,,,
7/15/16,19h26,22.414,Sambaíba,2,1760/10,"R. Palmas de São Moisés, 320 - Jardim Antártica",Perda Parcial,,,,,,,,,,,,,,,,,,
7/25/16,04h20,81.675,Transpass,8,748R/10,"Av. Engenheiro Heitor Ântonio Heira Garcia, sn - Jd. Paulo VI",Perda Total,,,,,,,,,,,,,,,,,,
8/1/16,20h10,48.273,Express,4,407P/10,Av. José Pineiro Borges x Rua Rio Bom,Perda Parcial,,,,,,,,,,,,,,,,,,
8/31/16,19h23,82.265,Gato Preto,8,702U/10,"Avenida Professor Almeida Prado, 634 - Butantã",Perda Parcial,,,,,,,,,,,,,,,,,,
8/31/16,19h26,81.092,Transpass,8,8019/10,"Av. Corifeu de Azevedo Marques, 3539 - Rio Pequeno",Perda Total,,,,,,,,,,,,,,,,,,
12/9/16,19h39,74.353,VIP/Transportes,7,7004/10,"Av. Guarapiranga, 4.884 - Guarapiranga",Perda Parcial,,,,,,,,,,,,,,,,,,
11/8/16,10h30,48.434,Express,4,4008/10,"Rua Joaquim Meira de Siqueira, 480 - Pq do Carmo",Perda Parcial,,,,,,,,,,,,,,,,,,
11/8/16,10h30,48.434,Express,4,4008/10,"Rua Joaquim Meira de Siqueira, 480 - Pq do Carmo",Perda Parcial,,,,,,,,,,,,,,,,,,
9/20/16,21h55,52.52,Via Sul,5,475R/10,"Av. Estéfano, 1.563 - Saúde",Perda Total,,,,,,,,,,,,,,,,,,
9/5/16,19h20,11.953,Santa Brígida,1,8549/10,"Av. Deputado Cantídio Sampaio, 2.775 - Brasilândia",Perda Total,,,,,,,,,,,,,,,,,,
2/4/17,21:30,63.022,Mobibrasil,6,516N/10,"Rua Frei Lourenço de Alcântara,52- Vila Missionária",Perda Total,,,,,,,,,,,,,,,,,,
2/11/17,21:15,73.71,VIP/Transportes,7,737A/10,"Estrada do M Boi Mirim, 1.585 - Jardim das flores",Perda Parcial,,,,,,,,,,,,,,,,,,
2/25/17,4:00,11.186,Santa Brígida,1,N131/11,"Rua Conselheiro Olegário,338 - Vila Anastácio",Perda Parcial,,,,,,,,,,,,,,,,,,
3/15/17,19:07,62.077,Tupi,6,5091/10,"Estrada do Alvarenga, 777 - Pedreira",Perda Parcial,,,,,,,,,,,,,,,,,,
3/26/17,21:34,22.915,Sambaíba,2,1703/10,"Av. Antonelo da Messina, 338 - Jardim Guapira",Perda Total,,,,,,,,,,,,,,,,,,
4/17/17,21:20,21.579,Sambaíba,2,278A/10,"Avenida Celso Garcia,2.101 - Belém",Perda Parcial,,,,,,,,,,,,,,,,,,
4/24/17,22:55,22.837,Sambaíba,2,971R/10,"Avenida Deputado Cantídio Sampaio, 2.476- Vila Souza",Perda Parcial,,,,,,,,,,,,,,,,,,
4/29/17,23:18,33.026,VIP/Transportes,3,4313/10,"Estrada do Iguatemi,6.380- Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
5/1/17,5:05,51.855,Via Sul,5,5145/10,"Avenida Luis Pires de Minas,346- Jardim Imperadore",Perda Parcial,,,,,,,,,,,,,,,,,,
5/6/17,23:40,33.042,VIP/Transportes,3,4313/10,"Estrada do Iguatemi, 6.380 - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
5/18/17,19:00,63.314,Mobibrasil,6,607C/10,Praça herculana Ribeiro da Silva - Cidade Ademar,Perda Parcial,,,,,,,,,,,,,,,,,,
6/10/17,20h00,11.131,Santa Brígida,1,8548/10,"Av. Deputado Cantídio Sampaio, 2.478 - Vila Souza",Perda Parcial,,,,,,,,,,,,,,,,,,
6/15/17,01h00,33.44,VIP Transportes,3,3686/10,Av. Miguel Achião da Fonseca X R.Fernão Carrilho - Guaianazes,Perda Parcial,,,,,,,,,,,,,,,,,,
6/26/17,23h15,31.105,VIP/Transportes,3,3459/10,Rua José Alves Coelho (TP) - Itaim Paulista,Perda Parcial,,,,,,,,,,,,,,,,,,
7/2/17,22h35,81.224,Transpass,8,7545/10,"Av. Raposo Tavares, Km 15 - Jd. Olympia",Perda Parcial,,,,,,,,,,,,,,,,,,
7/2/17,22h35,81.887,Transpass,8,8610/10,"Av. Raposo Tavares, Km 15 - Jd. Olympia",Perda Parcial,,,,,,,,,,,,,,,,,,
7/2/17,22h54,81.357,Transpass,8,809T/10,Av. Prof. José Maria Alckimim X R. José de Martini - Jd. Esmeralda,Perda Parcial,,,,,,,,,,,,,,,,,,
7/12/17,01h02,74.215,VIP/Transportes,7,N733/11,"Rua Vagalume, 12 - Jardim Ângela",Perda Parcial,,,,,,,,,,,,,,,,,,
7/14/17,18:15,22.734,Sambaíba,2,1759/10,"Avenida Maria Antonio Martins,40-Jardim Peri",Perda Total,,,,,,,,,,,,,,,,,,
7/31/17,23:30,62.087,Tupi,6,5791/10,"Av. Angelo Cristianini, 1.334 - Jardim Luso",Perda Total,,,,,,,,,,,,,,,,,,
8/12/17,22:55,48.712,Express,4,5791/10,Rua Patricio Teixeira X Av. Naylor de Oliveira - Barro Branco,Perda Total,,,,,,,,,,,,,,,,,,
9/1/17,19:25,11.599,Santa Brígida,4,8006/10,Rua Petia X Rua Alexandre Orlov - Jd. Donária,Perda Total,,,,,,,,,,,,,,,,,,
10/10/17,13:20,33.063,VIP/Transportes,3,3301/10,"Avenida Governador Carvalho Pinto, 647- Cangaíba",Perda Parcial,,,,,,,,,,,,,,,,,,
1/8/18,20:46,63.716,Mobi Brasil,6,546L/10,"Avenida Yervant Kissajikian,3708- Cidade Ademar",Total,,,,,,,,,,,,,,,,,,
2/27/18,20:00,81.998,Transppass,8,809D/10,"Rodovia Raposo Tavares, Km14,5 - Raposo Tavares",Total,,,,,,,,,,,,,,,,,,
3/26/18,18:30,21.747,Sambaiba,2,971R/10,"Estrada de Taipas, 2.635 - Jd Rincão",Total,,,,,,,,,,,,,,,,,,
3/26/18,21:43,11.986,Santa Brigida,1,978J/10,Rua Friedrich Von Voith X Rua James Petersen - Parada de Taipas,Total,,,,,,,,,,,,,,,,,,
5/10/18,22:55,11.173,Santa Brigida,1,8006/10,"Av Raimundo Pereira de Magalhães, 10.534 - Pirituba",Total,,,,,,,,,,,,,,,,,,
6/19/18,22:05,21.077,Sambaiba,2,971R/10,"Av. Deputado Cantidio Sampaio, 3011 - Brasilandia",Total,,,,,,,,,,,,,,,,,,
6/24/18,21:54,52.536,Via Sul,5,3390/10,"Av. Sapopemba, 10212 - Jd. da Cachoeira",Total,,,,,,,,,,,,,,,,,,
8/8/18,23:42,62.236,Tupi,6,N604/11,"Acesso a av. Washington Luis, altura nº 50/52 - Campo Belo",Parcial,,,,,,,,,,,,,,,,,,
9/10/18,17:18,33.074,Vip/Plus,3,354M/10,"Av. Jacu Pêssego / Nova trabalhadores, 700 - Itaquera",Total,,,,,,,,,,,,,,,,,,
10/9/18,5:00,51.945,Via Sul,5,4284/10,Rua Granito nº 77 - Vila Califórnia,Total,,,,,,,,,,,,,,,,,,
10/13/18,0:00,11.463,Santa Brigida,1,8009/31,"Av. Raimundo Pereira de Magalhães, 10200 - Pirituba",Parcial,,,,,,,,,,,,,,,,,,
12/16/18,22:34,32.819,Vip/Plus,3,2765/10,"Rua Barra de Santa Rosa, 410 - Parque Cisper",Total,,,,,,,,,,,,,,,,,,
12/16/18,22:34,32.469,Vip/Plus,3,2765/10,"Rua Barra de Santa Rosa, 410 - Parque Cisper",Total,,,,,,,,,,,,,,,,,,
12/17/18,0:07,32.473,Vip/Plus,3,2762/10,"Rua Fernão Mendes Pinto, 1544 - Parque Boturussu",Total,,,,,,,,,,,,,,,,,,
1/9/2019,12:52,62.219,Tupi,6,576M/10,"Rua Francisco Alves de Azevedo, 136 - Vila Clara",Total,,,,,,,,,,,,,,,,,,
2/26/2019,3:10,53.704,Via Sudeste,5,5026/10,"Av. Ragueb Chohfi, 5555 - Jardim Três Maria",Total,,,,,,,,,,,,,,,,,,
2/26/2019,5:26,25.053,Spencer,2,172U/10,"Rua João Teodoro, 808 - Bras",Total,,,,,,,,,,,,,,,,,,
3/18/2019,18:53,77.873,KBPX,7,647P/10,"Av. Giovane Gronchi,3476 - Paraisopolis",Parcial,,,,,,,,,,,,,,,,,,
3/19/2019,22:25,72.24,Ambiental,7,5119/10,"Av. Giovane Gronchi,3476 - Paraisopolis",Parcial,,,,,,,,,,,,,,,,,,
6/3/2019,0:45,47.237,Pessego,4,3736/10,"Rua Gaspar Guterres, 11 - Parque do Carmo",Total,,,,,,,,,,,,,,,,,,
6/3/2019,0:45,47.061,Pessego,4,3736/10,"Rua Gaspar Guterres, 11 - Parque do Carmo",Total,,,,,,,,,,,,,,,,,,
6/3/2019,0:45,47.052,Pessego,4,3736/10,"Rua Gaspar Guterres, 11 - Parque do Carmo",Parcial,,,,,,,,,,,,,,,,,,
7/16/2019,14:17,11.644,Santa Brígida,1,8050/31,"Rodovia Anhanguera, KM 22, Sentido Interior/Capital- Jaraguá",Total,,,,,,,,,,,,,,,,,,
7/23/2019,3:30,26.245,Norte Buss,2,1705/10,"Rua Ushikichi Kamya, 1383 Jardim Fontalis (Garagem Spencer)",Total,,,,,,,,,,,,,,,,,,
7/23/2019,3:30,26.015,Norte Buss,2,1705/10,"Rua Ushikichi Kamya, 1383 Jardim Fontalis (Garagem Spencer)",Total,,,,,,,,,,,,,,,,,,
7/23/2019,3:30,26.209,Norte Buss,2,1705/10,"Rua Ushikichi Kamya, 1383 Jardim Fontalis (Garagem Spencer)",Total,,,,,,,,,,,,,,,,,,
7/23/2019,3:30,26.098,Norte Buss,2,1705/10,"Rua Ushikichi Kamya, 1383 Jardim Fontalis (Garagem Spencer)",Total,,,,,,,,,,,,,,,,,,
7/23/2019,3:30,26.088,Norte Buss,2,1705/10,"Rua Ushikichi Kamya, 1383 Jardim Fontalis (Garagem Spencer)",Total,,,,,,,,,,,,,,,,,,
7/23/2019,3:30,26.028,Norte Buss,2,1705/10,"Rua Ushikichi Kamya, 1383 Jardim Fontalis (Garagem Spencer)",Total,,,,,,,,,,,,,,,,,,
11/6/2019,20:50,32.841,Metrópole,3,211V/10,"Rua Antonio Bonici, 412 - Ermelino Matarazzo",Total,,,,,,,,,,,,,,,,,,
12/3/2019,22:25,48.375,Express,4,312N/10,"Estrada Dom João Nery, 4298 - Vila Lourdes / Itaim Paulista",Total,,,,,,,,,,,,,,,,,,
1/12/2014,22h02,34.038,Aliança ,3,213C/10,"Rua Basílio Salazar, 509 - Jd. Nazaré",Total,,,,,,,,,,,,,,,,,,
1/25/2014,21h10,15.036,Fênix ,1,9784/10,"Av. General Penha Brasil, 2.307 - Cachoeirinha",Total,,,,,,,,,,,,,,,,,,
1/26/2014,04h30,66.065,Cooper Pam ,6,6072/10,"Rua Paulo Guilguer Reimberg, 5.400 Grajaú ",Total,,,,,,,,,,,,,,,,,,
2/24/2014,14h30,78.362,Cooper Pam   ,7,6041/10,"Rua Simão Caetano Nunes, 98- Jardim Angela",Parcial,,,,,,,,,,,,,,,,,,
3/3/2014,00h50,55.209,Coopertranse  ,5,5031/10,"Rua Tolstoi, 295 - Vila Brasilina",Total,,,,,,,,,,,,,,,,,,
3/23/2014,20h00,15.065,Fênix   ,1,9784/10,"Rua Firminópolis, 298 - Jd. Dos Francos",Parcial,,,,,,,,,,,,,,,,,,
4/9/2014,21h15,16.747,"Transcooper  Rua Francisco da Cunha Menezes, 1.177 - Vila",1,819A/10,"Rua Francisco da Cunha Menezes, 1.177 - Vila Aurora",Parcial,,,,,,,,,,,,,,,,,,
4/27/2014,02h20,66.004,Cooper Pam ,6,6726/10,"Engenheiro Guaracy Torres, 391 - Grajau",Total,,,,,,,,,,,,,,,,,,
5/30/2014,01h30,78.163,Cooper Pam ,7,Reservado,"Rua Marcelo Pinheiro, 2 - Jd. Lídia",Parcial,,,,,,,,,,,,,,,,,,
5/30/2015,02h00,78.011,Cooper Pam  ,7,Reservado,Rua José Manoel Camisa Nova Jr - Jd. Letícia,Parcial,,,,,,,,,,,,,,,,,,
5/30/2016,01h30,78.411,Cooper Pam  ,7,Reservado,Rua Romão Manzini Cerqueira - Jd São Luiz,Parcial,,,,,,,,,,,,,,,,,,
8/1/2014,19h40,36.293,Paulistana,3,2004/10,"Rua Humberto Quintilio, sn° - Itaim Paulista",Total,,,,,,,,,,,,,,,,,,
8/7/2014,01h40,78.468,Cooper Pam  ,7,7053/10,"Rua Januário da Cunha Barbosa, 562 - Campo Limpo",Total,,,,,,,,,,,,,,,,,,
9/22/2014,03h20,47.799,Transcooperleste,4,342C/10,"Rua Bavária, 27 - Jd. Marilia",Total,,,,,,,,,,,,,,,,,,
10/1/2014,23h30,45.192,Paulistana,4,Reservado,"Cangaíba, 3.708 - Cangaíba",Total,,,,,,,,,,,,,,,,,,
10/1/2014,23h30,45.218,Paulistana,4,Reservado,"Cangaíba, 3.708 - Cangaíba",Total,,,,,,,,,,,,,,,,,,
10/1/2014,23h30,45.212,Paulistana,4,Reservado,"Cangaíba, 3.708 - Cangaíba",Total,,,,,,,,,,,,,,,,,,
10/1/2014,23h30,45.278,Paulistana,4,Reservado,"Cangaíba, 3.708 - Cangaíba",Total,,,,,,,,,,,,,,,,,,
10/1/2014,23h30,45.21,Paulistana,4,Reservado,"Cangaíba, 3.708 - Cangaíba",Total,,,,,,,,,,,,,,,,,,
10/26/2014,17h02,26.472,Transcooper,2,1730/10,"Av.Zaki Narchi, 501",Total,,,,,,,,,,,,,,,,,,
11/24/2014,05h50,15.03,Fênix,1,1017/10,"Av. Elísio Teixeira Leite, 5955",Total,,,,,,,,,,,,,,,,,,
1/3/2015,17h28,15.11,Fênix,1,8016/10,"Rua Palácio do Catete, 78 - Jardim Rincão",Total,,,,,,,,,,,,,,,,,,
1/15/2015,03h00,78.268,Cooper Pam,7,7049/10,"Estrada do M'Boi mirim, 9.977 - Jardim Angela",Total,,,,,,,,,,,,,,,,,,
1/27/2015,00h05,78.07,Transwolff,7,7058/10,"Rua Florêncio do Amaral, 188 - Jardim Mitsutani",Total,,,,,,,,,,,,,,,,,,
5/9/2015,01h40,47.828,Pêssego,4,3789/10,"Rua Francisco José Viana, 690 - C. Tiradentes",Total,,,,,,,,,,,,,,,,,,
5/9/2015,01h40,47.063,Pêssego,4,3789/10,"Rua Francisco José Viana, 690 - C. Tiradentes",Total,,,,,,,,,,,,,,,,,,
5/28/2015,23h20,66.98,Transwolff,6,6L08/10,"Travessa Sem Nome, 0 - Jardim São Nicolau",Total,,,,,,,,,,,,,,,,,,
6/11/2015,19h10,15.025,Spencer,1,9784/10,"Estrada de Taipas, 2.635 - Taipas",Total,,,,,,,,,,,,,,,,,,
7/25/2015,21h20,47.015,Pêssego,4,3785/10,"Estrada do Iguatemi, 2.151 - Iguatemi",Total,,,,,,,,,,,,,,,,,,
12/30/2015,12h00,66.117,Transwolff,6,6120/10,"Avenida Dona Belmira Marin, 4.223 - Grajaú",Total,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.444,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Total,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.509,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Total,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.196,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Total,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.337,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Total,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.467,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Parcial,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.129,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Parcial,,,,,,,,,,,,,,,,,,
1/9/2016,02h20,55.347,Move,-,SP 5,"Garagem Rua Murta do Campo, 405 - Vila Alpina",Parcial,,,,,,,,,,,,,,,,,,
4/2/2016,04h35,26.286,Norte Buss,2,172P/10,"Av. Antonello da Messina, 339 - Vila Zilda",Parcial,,,,,,,,,,,,,,,,,,
4/3/2016,23h22,26.3,Norte Buss,2,172P/10,"Av. Antonello da Messina, 200 - Tremembé",Total,,,,,,,,,,,,,,,,,,
6/8/2016,13h40,15.027,Spencer,1,8015/10,"Av. Elísio Teixeira Leite, 5017 - Jaraguá",Total,,,,,,,,,,,,,,,,,,
9/8/2016,18:13,66.552,Transwolff,6,6L05/10,"Estrada da Barragem, 384 - Parelheiros",Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
